id,национальность
1146121,Русские
1146139,Русские
1146162,Русские
1146204,Евреи
1146328,Русские
1146378,Русские
1146449,Русские
1146459,Русские
1146732,Евреи
1146771,Русские
1146825,Украинцы
1146961,Русские
1147003,Русские
1147029,Русские
1147067,Русские
1147069,Украинцы
1147122,Русские
1147127,Русские
1147172,Украинцы
1147177,Украинцы
1147186,Русские
1147294,нет данных
1147368,Русские
1147455,Русские
1147460,Русские
1147470,Китайцы
1147471,Китайцы
1147472,Китайцы
1147473,Китайцы
1147476,Китайцы
1147478,Китайцы
1147480,Китайцы
1147481,Китайцы
1147482,Китайцы
1147484,Китайцы
1147485,Китайцы
1147488,Китайцы
1147489,Китайцы
1147490,Китайцы
1147492,Китайцы
1147493,Китайцы
1147494,Китайцы
1147605,Русские
1147678,Русские
1147840,Русские
1147988,Русские
1148030,Украинцы
1148069,Русские
1148086,Русские
1148129,Русские
1148177,Русские
1148204,Русские
1148207,Русские
1148238,Мордва
1148293,Русские
1148304,Русские
1148417,Русские
1148419,нет данных
1148421,нет данных
1148645,Русские
1148664,Украинцы
1148757,Украинцы
1148772,Украинцы
1148813,Евреи
1148880,Русские
1149065,Русские
1149117,Русские
1149390,Русские
1149487,Русские
1149555,Евреи
1149591,Ульчи
1149657,Евреи
1149678,Евреи
1149687,Евреи
1149694,Евреи
1149707,Евреи
1149804,Евреи
1149819,Евреи
1149908,Белорусы
1150052,Евреи
1150125,Русские
1150167,Евреи
1150397,Русские
1150474,Русские
1150476,Украинцы
1150499,Русские
1150553,Русские
1150582,Русские
1150600,Русские
1150610,Русские
1150638,Русские
1150684,Русские
1150700,Русские
1151000,Поляки
1151026,Украинцы
1151167,Украинцы
1151299,Белорусы
1151369,Украинцы
1151441,Русские
1151442,Русские
1151471,Русские
1151490,Русские
1151576,Русские
1151580,Русские
1151595,Русские
1151612,Русские
1151761,Русские
1151818,Русские
1151828,Русские
1151846,Украинцы
1151887,Русские
1151912,Русские
1151998,Русские
1152018,Русские
1152024,Русские
1152026,Украинцы
1152031,Украинцы
1152060,Русские
1152172,Евреи
1152181,Русские
1152259,Русские
1152265,нет данных
1152266,нет данных
1152368,Русские
1152371,Русские
1152388,Русские
1152432,Украинцы
1152537,Русские
1152560,Русские
1152709,Евреи
1152782,Евреи
1152848,Русские
1152856,Русские
1152903,Русские
1152928,Русские
1152964,Русские
1153002,Русские
1153008,Украинцы
1153013,Евреи
1153103,Немцы
1153395,Русские
1153403,Русские
1153410,Русские
1153557,Русские
1153598,Русские
1153653,Русские
1153779,Русские
1153787,Русские
1153790,Русские
1153929,Русские
1153941,Русские
1154105,Немцы
1154106,Немцы
1154131,Немцы
1154552,Русские
1154653,Евреи
1154701,Русские
1154998,Русские
1155105,Русские
1155182,Русские
1155203,Русские
1155217,Русские
1155316,Русские
1155458,Украинцы
1155476,Русские
1155487,Русские
1155490,Русские
1155554,Русские
1155754,Русские
1155761,Русские
1155791,Евреи
1155871,Русские
1155894,Немцы
1155928,Русские
1156018,Русские
1156129,Русские
1156192,Русские
1156208,нет данных
1156223,Русские
1156234,Русские
1156298,Русские
1156428,Русские
1156487,Русские
1156506,Русские
1156640,Русские
1156643,Русские
1156764,Русские
1157031,Русские
1157035,Евреи
1157284,Евреи
1157326,Русские
1157329,Украинцы
1157353,Русские
1157361,Евреи
1157394,Русские
1157400,Украинцы
1157416,Русские
1157418,Русские
1157419,Русские
1157464,Русские
1157521,Украинцы
1157524,Украинцы
1157579,Русские
1157587,Украинцы
1157700,Белорусы
1157724,Русские
1157867,Русские
1158001,Русские
1158017,Украинцы
1158044,Русские
1158104,Евреи
1158131,Русские
1158136,Русские
1158194,Украинцы
1158208,Эвенки
1158211,Евреи
1158215,Русские
1158244,Эвенки
1158253,Русские
1158275,Эвенки
1158282,Эвенки
1158284,Эвенки
1158442,Русские
1158731,Поляки
1158732,Латыши
1158758,Русские
1158810,Русские
1159028,Русские
1159102,Русские
1159135,Китайцы
1159137,Китайцы
1159138,Китайцы
1159139,Китайцы
1159140,Китайцы
1159141,Китайцы
1159143,Китайцы
1159144,Китайцы
1159145,Китайцы
1159156,Русские
1159238,Русские
1159277,Русские
1159374,Русские
1159901,Русские
1159918,Русские
1160247,Русские
1160344,Русские
1160421,Русские
1160631,Русские
1160716,нет данных
1160743,Китайцы
1160792,Белорусы
1160830,Русские
1160866,Немцы
1161013,Евреи
1161026,Белорусы
1161053,Русские
1161258,Русские
1161273,Русские
1161388,Русские
1161418,Белорусы
1161429,Русские
1161442,Эвенки
1161543,Украинцы
1161577,Русские
1161631,Русские
1161704,Русские
1161732,Русские
1161756,Русские
1161808,Русские
1161816,Русские
