id,гражданство
1130497,СССР
1130505,СССР
1130513,СССР
1130723,СССР
1130765,СССР
1130774,СССР
1130778,СССР
1130802,СССР
1130821,СССР
1130954,нет данных
1131005,нет данных
1131076,СССР
1131099,СССР
1131109,Китай
1131134,СССР
1131250,СССР
1131272,СССР
1131311,СССР
1131434,СССР
1131537,СССР
1131566,СССР
1131710,СССР
1131712,СССР
1131758,СССР
1131848,СССР
1131854,СССР
1131949,СССР
1132008,СССР
1132018,СССР
1132071,СССР
1132094,СССР
1132113,СССР
1132134,СССР
1132147,СССР
1132188,нет данных
1132212,СССР
1132226,СССР
1132227,СССР
1132233,нет данных
1132409,нет данных
1132412,СССР
1132414,СССР
1132415,СССР
1132454,нет данных
1132461,СССР
1132512,СССР
1132513,СССР
1132552,СССР
1132623,СССР
1132660,СССР
1132755,СССР
1132785,СССР
1132936,СССР
1133185,СССР
1133306,СССР
1133313,Без гражданства
1133314,Китай
1133315,Китай
1133417,Китай
1133418,Китай
1133455,Китай
1133456,Китай
1133551,СССР
1133584,СССР
1133592,нет данных
1133645,СССР
1133709,СССР
1133728,СССР
1133813,СССР
1133818,Без гражданства
1133820,СССР
1133821,СССР
1133905,СССР
1133948,СССР
1134005,СССР
1134579,СССР
1134588,СССР
1134621,СССР
1134695,СССР
1134729,СССР
1134746,СССР
1134761,СССР
1134908,нет данных
1134915,СССР
1134925,СССР
1134999,СССР
1135064,СССР
1135065,СССР
1135138,СССР
1135139,нет данных
1135173,СССР
1135188,СССР
1135205,нет данных
1135207,нет данных
1135210,нет данных
1135375,СССР
1135378,СССР
1135681,нет данных
1135682,нет данных
1135967,СССР
1136006,Китай
1136073,СССР
1136104,Без гражданства
1136210,СССР
1136238,СССР
1136678,СССР
1136680,СССР
1136688,СССР
1136769,Без гражданства
1136794,СССР
1136839,СССР
1136999,СССР
1137052,СССР
1137056,СССР
1137071,СССР
1137163,СССР
1137207,СССР
1137243,СССР
1137257,СССР
1137260,СССР
1137343,СССР
1137565,эмигрант
1137606,СССР
1137708,СССР
1137746,СССР
1137779,СССР
1137877,СССР
1137889,СССР
1137893,СССР
1138148,Китай
1138208,СССР
1138266,СССР
1138386,нет данных
1138449,СССР
1138556,СССР
1138572,СССР
1138579,Китай
1138584,Китай
1138586,Без гражданства
1138587,Китай
1138588,Китай
1138589,Китай
1138592,Китай
1138593,Китай
1138595,Китай
1138596,Китай
1138597,Китай
1138598,Китай
1138599,Китай
1138600,Китай
1138601,Китай
1138624,СССР
1138827,СССР
1139160,СССР
1139220,СССР
1139252,СССР
1139254,СССР
1139362,нет данных
1139600,СССР
1140001,СССР
1140105,СССР
1140188,СССР
1140250,СССР
1140367,нет данных
1140710,СССР
1140727,СССР
1140728,СССР
1140729,СССР
1141031,нет данных
1141040,нет данных
1141041,нет данных
1141162,СССР
1141257,СССР
1141443,СССР
1141487,нет данных
1141529,СССР
1141595,СССР
1141655,СССР
1141676,СССР
1141731,СССР
1141732,СССР
1142139,СССР
1142144,СССР
1142177,СССР
1142185,СССР
1142339,СССР
1142564,СССР
1142611,СССР
1142776,СССР
1142851,нет данных
1142860,нет данных
1143715,СССР
1143728,СССР
1143787,СССР
1143800,нет данных
1143828,нет данных
1143849,СССР
1143871,СССР
1143885,СССР
1144056,СССР
1144414,Китай
1144570,СССР
1144690,СССР
1144691,нет данных
1144748,СССР
1144801,СССР
1144888,нет данных
1144969,нет данных
1145238,СССР
1145306,СССР
1145341,СССР
1145642,СССР
1145765,СССР
1145766,СССР
1145920,СССР
1145970,СССР
1146078,СССР
1146112,СССР
1146121,СССР
1146139,СССР
1146162,СССР
1146204,СССР
1146328,СССР
1146378,СССР
1146449,СССР
1146459,СССР
1146732,СССР
1146771,СССР
1146825,СССР
1146961,СССР
1147003,СССР
1147029,СССР
1147067,СССР
1147069,СССР
1147122,СССР
1147127,СССР
1147172,СССР
1147177,СССР
1147186,СССР
1147294,нет данных
1147368,СССР
1147455,СССР
1147460,СССР
1147470,Китай
1147471,Китай
1147472,Китай
1147473,Китай
1147476,Китай
1147478,Китай
1147480,Китай
1147481,Китай
1147482,Китай
1147484,Китай
1147485,Китай
1147488,Китай
1147489,Китай
1147490,Китай
1147492,Китай
1147493,Китай
1147494,Китай
1147605,СССР
1147678,СССР
1147840,СССР
1147988,СССР
1148030,СССР
1148069,СССР
1148086,Без гражданства
1148129,СССР
1148177,Без гражданства
1148204,СССР
1148207,СССР
1148238,СССР
1148293,СССР
1148304,СССР
1148417,СССР
1148419,нет данных
1148421,нет данных
1148645,СССР
1148664,СССР
1148757,СССР
1148772,СССР
1148813,СССР
1148880,СССР
1149065,СССР
1149117,СССР
1149390,СССР
1149487,эмигрант
1149555,СССР
1149591,СССР
1149657,СССР
1149678,СССР
1149687,СССР
1149694,СССР
1149707,СССР
1149804,СССР
1149819,СССР
1149908,СССР
1150052,СССР
1150125,СССР
1150167,СССР
1150397,СССР
1150474,СССР
1150476,СССР
1150499,СССР
1150553,СССР
1150582,СССР
1150600,СССР
1150610,СССР
1150638,СССР
1150684,СССР
1150700,СССР
1151000,СССР
1151026,СССР
1151167,СССР
1151299,СССР
1151369,СССР
1151441,СССР
1151442,СССР
1151471,СССР
1151490,СССР
1151576,СССР
1151580,СССР
1151595,СССР
1151612,СССР
1151761,СССР
1151818,СССР
1151828,СССР
1151846,СССР
1151887,СССР
1151912,СССР
1151998,СССР
1152018,СССР
1152024,СССР
1152026,СССР
1152031,СССР
1152060,СССР
1152172,СССР
1152181,СССР
1152259,СССР
1152265,нет данных
1152266,нет данных
1152368,СССР
1152371,СССР
1152388,СССР
1152432,СССР
1152537,СССР
1152560,СССР
1152709,СССР
1152782,СССР
1152848,СССР
1152856,СССР
1152903,СССР
1152928,СССР
1152964,СССР
1153002,СССР
1153008,СССР
1153013,нет данных
1153103,СССР
1153395,СССР
1153403,СССР
1153410,СССР
1153557,СССР
1153598,СССР
1153653,эмигрант
1153779,Без гражданства
1153787,СССР
1153790,СССР
1153929,СССР
1153941,СССР
1154105,СССР
1154106,СССР
1154131,СССР
1154552,СССР
1154653,СССР
1154701,СССР
1154998,СССР
1155105,СССР
1155182,СССР
1155203,СССР
1155217,СССР
1155316,СССР
1155458,СССР
1155476,СССР
1155487,СССР
1155490,СССР
1155554,СССР
1155754,СССР
1155761,нет данных
1155791,СССР
1155871,СССР
1155894,нет данных
1155928,СССР
1156018,СССР
1156129,СССР
1156192,СССР
1156208,нет данных
1156223,СССР
1156234,СССР
1156298,СССР
1156428,СССР
1156487,СССР
1156506,СССР
1156640,СССР
1156643,СССР
1156764,СССР
1157031,СССР
1157035,СССР
1157284,СССР
1157326,СССР
1157329,СССР
1157353,нет данных
1157361,СССР
1157394,СССР
1157400,СССР
1157416,СССР
1157418,СССР
1157419,СССР
1157464,СССР
1157521,СССР
1157524,СССР
1157579,СССР
1157587,СССР
1157700,СССР
1157724,СССР
1157867,СССР
1158001,СССР
1158017,СССР
1158044,СССР
1158104,СССР
1158131,СССР
1158136,СССР
1158194,СССР
1158208,СССР
1158211,СССР
1158215,СССР
1158244,СССР
1158253,СССР
1158275,СССР
1158282,СССР
1158284,СССР
1158442,Без гражданства
1158731,СССР
1158732,СССР
1158758,СССР
1158810,СССР
1159028,СССР
1159102,СССР
1159135,Без гражданства
1159137,Китай
1159138,Китай
1159139,Китай
1159140,Китай
1159141,Китай
1159143,Китай
1159144,нет данных
1159145,Китай
1159156,эмигрант
1159238,СССР
1159277,СССР
1159374,СССР
1159901,СССР
1159918,СССР
1160247,СССР
1160344,СССР
1160421,СССР
1160631,СССР
1160716,нет данных
1160743,Китай
1160792,СССР
1160830,СССР
1160866,СССР
1161013,СССР
1161026,СССР
1161053,СССР
1161258,СССР
1161273,СССР
1161388,СССР
1161418,СССР
1161429,СССР
1161442,СССР
1161543,СССР
1161577,СССР
1161631,СССР
1161704,СССР
1161732,СССР
1161756,СССР
1161808,СССР
1161816,СССР
1161832,СССР
1161932,СССР
1162004,СССР
1162049,СССР
1162064,нет данных
1162093,СССР
1162514,СССР
1162686,СССР
1162751,нет данных
1162900,СССР
1163378,СССР
1163400,СССР
1163432,СССР
1164062,Китай
1164064,Китай
1164200,СССР
1164201,СССР
