id,партийная принадлежность
1132936,нет данных
1133185,нет данных
1133306,нет данных
1133313,нет данных
1133314,нет данных
1133315,нет данных
1133417,нет данных
1133418,нет данных
1133455,нет данных
1133456,нет данных
1133551,нет данных
1133584,нет данных
1133592,нет данных
1133645,нет данных
1133709,нет данных
1133728,нет данных
1133813,нет данных
1133818,нет данных
1133820,нет данных
1133821,нет данных
1133905,нет данных
1133948,нет данных
1134005,беспартийный
1134579,нет данных
1134588,нет данных
1134621,нет данных
1134695,нет данных
1134729,нет данных
1134746,нет данных
1134761,нет данных
1134908,нет данных
1134915,нет данных
1134925,нет данных
1134999,нет данных
1135064,нет данных
1135065,нет данных
1135138,нет данных
1135139,нет данных
1135173,нет данных
1135188,нет данных
1135205,нет данных
1135207,нет данных
1135210,нет данных
1135375,нет данных
1135378,нет данных
1135681,нет данных
1135682,нет данных
1135967,нет данных
1136006,нет данных
1136073,нет данных
1136104,нет данных
1136210,нет данных
1136238,нет данных
1136678,нет данных
1136680,нет данных
1136688,нет данных
1136769,нет данных
1136794,нет данных
1136839,нет данных
1136999,нет данных
1137052,нет данных
1137056,нет данных
1137071,нет данных
1137163,нет данных
1137207,нет данных
1137243,нет данных
1137257,нет данных
1137260,нет данных
1137343,нет данных
1137565,нет данных
1137606,нет данных
1137708,нет данных
1137746,нет данных
1137779,нет данных
1137877,нет данных
1137889,нет данных
1137893,нет данных
1138148,нет данных
1138208,нет данных
1138266,нет данных
1138386,нет данных
1138449,нет данных
1138556,нет данных
1138572,нет данных
1138579,нет данных
1138584,нет данных
1138586,нет данных
1138587,нет данных
1138588,нет данных
1138589,нет данных
1138592,нет данных
1138593,нет данных
1138595,нет данных
1138596,нет данных
1138597,нет данных
1138598,нет данных
1138599,нет данных
1138600,нет данных
1138601,нет данных
1138624,нет данных
1138827,нет данных
1139160,нет данных
1139220,нет данных
1139252,нет данных
1139254,нет данных
1139362,нет данных
1139600,нет данных
1140001,нет данных
1140105,нет данных
1140188,нет данных
1140250,нет данных
1140367,нет данных
1140710,нет данных
1140727,нет данных
1140728,нет данных
1140729,нет данных
1141031,нет данных
1141040,нет данных
1141041,нет данных
1141162,нет данных
1141257,нет данных
1141443,нет данных
1141487,нет данных
1141529,нет данных
1141595,нет данных
1141655,нет данных
1141676,нет данных
1141731,нет данных
1141732,нет данных
1142139,нет данных
1142144,нет данных
1142177,нет данных
1142185,нет данных
1142339,беспартийный
1142564,нет данных
1142611,нет данных
1142776,нет данных
1142851,нет данных
1142860,нет данных
1143715,нет данных
1143728,нет данных
1143787,нет данных
1143800,нет данных
1143828,нет данных
1143849,нет данных
1143871,нет данных
1143885,нет данных
1144056,нет данных
1144414,нет данных
1144570,нет данных
1144690,нет данных
1144691,нет данных
1144748,нет данных
1144801,нет данных
1144888,нет данных
1144969,нет данных
1145238,нет данных
1145306,нет данных
1145341,нет данных
1145642,нет данных
1145765,нет данных
1145766,нет данных
1145920,нет данных
1145970,нет данных
1146078,нет данных
1146112,нет данных
1146121,нет данных
1146139,нет данных
1146162,беспартийный
1146204,нет данных
1146328,нет данных
1146378,нет данных
1146449,нет данных
1146459,нет данных
1146732,нет данных
1146771,нет данных
1146825,нет данных
1146961,беспартийный
1147003,нет данных
1147029,нет данных
1147067,нет данных
1147069,нет данных
1147122,нет данных
1147127,нет данных
1147172,нет данных
1147177,нет данных
1147186,нет данных
1147294,нет данных
1147368,нет данных
1147455,нет данных
1147460,нет данных
1147470,нет данных
1147471,нет данных
1147472,нет данных
1147473,нет данных
1147476,нет данных
1147478,нет данных
1147480,нет данных
1147481,нет данных
1147482,нет данных
1147484,нет данных
1147485,нет данных
1147488,нет данных
1147489,нет данных
1147490,нет данных
1147492,нет данных
1147493,нет данных
1147494,нет данных
1147605,нет данных
1147678,нет данных
1147840,нет данных
1147988,нет данных
1148030,нет данных
1148069,нет данных
1148086,нет данных
1148129,нет данных
1148177,нет данных
1148204,нет данных
1148207,нет данных
1148238,нет данных
1148293,нет данных
1148304,нет данных
1148417,нет данных
1148419,нет данных
1148421,нет данных
1148645,нет данных
1148664,нет данных
1148757,нет данных
1148772,нет данных
1148813,нет данных
1148880,нет данных
1149065,нет данных
1149117,нет данных
1149390,нет данных
1149487,нет данных
1149555,нет данных
1149591,нет данных
1149657,нет данных
1149678,нет данных
1149687,нет данных
1149694,нет данных
1149707,нет данных
1149804,нет данных
1149819,нет данных
1149908,нет данных
1150052,нет данных
1150125,нет данных
1150167,нет данных
1150397,нет данных
1150474,нет данных
1150476,нет данных
1150499,нет данных
1150553,нет данных
1150582,нет данных
1150600,нет данных
1150610,нет данных
1150638,нет данных
1150684,нет данных
1150700,нет данных
1151000,нет данных
1151026,нет данных
1151167,нет данных
1151299,нет данных
1151369,нет данных
1151441,нет данных
1151442,нет данных
1151471,нет данных
1151490,нет данных
1151576,нет данных
1151580,нет данных
1151595,нет данных
1151612,нет данных
1151761,нет данных
1151818,нет данных
1151828,нет данных
1151846,нет данных
1151887,нет данных
1151912,нет данных
1151998,ВКП(б)
1152018,нет данных
1152024,нет данных
1152026,нет данных
1152031,беспартийный
1152060,нет данных
1152172,нет данных
1152181,нет данных
1152259,нет данных
1152265,нет данных
1152266,нет данных
1152368,нет данных
1152371,нет данных
1152388,нет данных
1152432,нет данных
1152537,нет данных
1152560,нет данных
1152709,нет данных
1152782,нет данных
1152848,нет данных
1152856,нет данных
1152903,нет данных
1152928,нет данных
1152964,нет данных
1153002,нет данных
1153008,нет данных
1153013,нет данных
1153103,нет данных
1153395,нет данных
1153403,нет данных
1153410,нет данных
1153557,нет данных
1153598,нет данных
1153653,нет данных
1153779,нет данных
1153787,нет данных
1153790,нет данных
1153929,нет данных
1153941,нет данных
1154105,нет данных
1154106,нет данных
1154131,нет данных
1154552,нет данных
1154653,нет данных
1154701,нет данных
1154998,нет данных
1155105,нет данных
1155182,нет данных
1155203,нет данных
1155217,нет данных
1155316,нет данных
1155458,нет данных
1155476,нет данных
1155487,нет данных
1155490,нет данных
1155554,нет данных
1155754,нет данных
1155761,нет данных
1155791,нет данных
1155871,нет данных
1155894,нет данных
1155928,нет данных
1156018,нет данных
1156129,нет данных
1156192,нет данных
1156208,нет данных
1156223,нет данных
1156234,нет данных
1156298,нет данных
1156428,нет данных
1156487,нет данных
1156506,нет данных
1156640,нет данных
1156643,нет данных
1156764,нет данных
1157031,нет данных
1157035,нет данных
1157284,нет данных
1157326,нет данных
1157329,нет данных
1157353,нет данных
1157361,нет данных
1157394,нет данных
1157400,нет данных
1157416,нет данных
1157418,нет данных
